colonia,alcaldia,latitud,longitud
GUADALUPE INN,ALVARO OBREGON,19.36125,-99.18314
VICTORIA DE LAS DEMOCRACIAS,AZCAPOTZALCO,19.47181,-99.16458
COPILCO EL BAJO,COYOACAN,19.33797,-99.18611
AGRICOLA PANTITLAN,IZTACALCO,19.40327,-99.05983
PROGRESISTA,IZTAPALAPA,19.3548,-99.06324
BARRIO DEL NINO JESUS,COYOACAN,19.33537,-99.16016
TOLTECA,ALVARO OBREGON,19.39,-99.19472
BANJIDAL,IZTAPALAPA,19.35996,-99.13696
PUEBLO SANTIAGO ACAHUALTEPEC,IZTAPALAPA,19.35325,-99.0041
CUCHILLA PANTITLAN,VENUSTIANO CARRANZA,19.42102,-99.06775
RESIDENCIAL LA ESCALERA,GUSTAVO A. MADERO,19.50959,-99.13985
LA NORIA,XOCHIMILCO,19.26772,-99.12733
TLAXPANA,MIGUEL HIDALGO,19.441,-99.16927
DOCTORES,CUAUHTEMOC,19.42244,-99.15237
MORELOS,CUAUHTEMOC,19.44962,-99.12782
ROMA NORTE,CUAUHTEMOC,19.41359,-99.15729
SAN JUAN DE ARAGON VI SECCION,GUSTAVO A. MADERO,19.46801,-99.06586
MIRAVALLES,IZTAPALAPA,19.33477,-99.00053
SAN JUAN,BENITO JUAREZ,19.38065,-99.18487
JUAREZ,CUAUHTEMOC,19.42676,-99.1664
POPOTLA,MIGUEL HIDALGO,19.45796,-99.17955
TEPALCATES,IZTAPALAPA,19.39706,-99.05837
UNIDAD VICENTE GUERRERO,IZTAPALAPA,19.36056,-99.056
DEL VALLE SUR,BENITO JUAREZ,19.37353,-99.1786
TENORIOS,IZTAPALAPA,19.32981,-99.02166
PUEBLO SAN FRANCISCO TLALTENCO,TLAHUAC,19.29245,-99.02049
MOCTEZUMA 2A. SECCION,VENUSTIANO CARRANZA,19.43023,-99.09931
ESCANDON I SECCION,MIGUEL HIDALGO,19.40546,-99.18163
ESTRELLA,GUSTAVO A. MADERO,19.47576,-99.11819
GUERRERO,CUAUHTEMOC,19.43769,-99.14753
EJERCITO DE AGUA PRIETA,IZTAPALAPA,19.36748,-99.03152
AGRICOLA ORIENTAL,IZTACALCO,19.39424,-99.08136
DEL MAR,TLAHUAC,19.28047,-99.05956
UNIDAD SANTA CRUZ MEYEHUALCO,IZTAPALAPA,19.34304,-99.04698
CENTRO,CUAUHTEMOC,19.436,-99.13998
